"Name","src_domain","tar_domain","tar_acc.max","lr","use_tar_entropy_loss","use_domain_adv","epochs","src_acc","src_acc.max","best_src_acc","best_tar_acc"
"log/CWRU_small1_alltoCWRU_small3_all_lr0.0001_e200_b128","1_all","3_all","0.8870853781700134","0.0001","false","false","200","","1","1",""
"log/CWRU_small2_alltoCWRU_small3_all_lr0.0001_e200_b128","2_all","3_all","0.8941425681114197","0.0001","false","false","200","","1","1",""
"log/CWRU_small0_alltoCWRU_small3_all_lr0.0001_e200_b128","0_all","3_all","0.707833468914032","0.0001","false","false","200","","0.9992938041687012","0.9992938041687012",""
"log/CWRU_small3_alltoCWRU_small2_all_lr0.0001_e200_b128","3_all","2_all","0.880565345287323","0.0001","false","false","200","","1","1",""
"log/CWRU_small0_alltoCWRU_small1_all_lr0.0001_e200_b128","0_all","1_all","0.8076379299163818","0.0001","false","false","200","","1","1",""
"log/CWRU_small3_alltoCWRU_small0_all_lr0.0001_e200_b128","3_all","0_all","0.6518361568450928","0.0001","false","false","200","","1","1",""
"log/CWRU_small2_alltoCWRU_small1_all_lr0.0001_e200_b128","2_all","1_all","0.892503559589386","0.0001","false","false","200","","1","1",""
"log/CWRU_small1_alltoCWRU_small0_all_lr0.0001_e200_b128","1_all","0_all","0.7662429213523865","0.0001","false","false","200","","1","1",""
"log/CWRU_small2_alltoCWRU_small0_all_lr0.0001_e200_b128","2_all","0_all","0.7429378628730774","0.0001","false","false","200","","1","1",""
"log/CWRU_small0_alltoCWRU_small2_all_lr0.0001_e200_b128","0_all","2_all","0.760424017906189","0.0001","false","false","200","","1","1",""
"log/CWRU_small1_alltoCWRU_small2_all_lr0.0001_e200_b128","1_all","2_all","0.8699646592140198","0.0001","false","false","200","","1","1",""
"log/CWRU_small3_alltoCWRU_small1_all_lr0.0001_e200_b128","3_all","1_all","0.8309759497642517","0.0001","false","false","200","","1","1",""
